INSTRUCTION,CONTEXT,RESPONSE
How to issue it hardware and software in case of transfer of employee from one locatiojn to other?,"In case of transfer of an employee to other location, the PC/ peripherals issued to them shall be surrendered to ACA. 
ACA:
1. For Design specific software ACA is D&E Division.
2. For balance, IT&C division at CO/ Projects/ Power Stations/ units etc.","In case of transfer of an employee to other location, the PC/ peripherals issued to them shall be surrendered to ACA. 
ACA:
1. For Design specific software ACA is D&E Division.
2. For balance, IT&C division at CO/ Projects/ Power Stations/ units etc."
Give information about workstations.,"1. Workstation shall be issued to the Divisions/ locations involved in use of technical & scientific applications viz. Design, PID, R&D, O&M, Environment, IT&C, Geology etc. depending upon the type of work and requirement.

2. Workstations being high-end machines these shall be procured only after recommendation of respective HOD and approval of ED-IT&C at CO for the specific work to be performed by the Divisions.

3. For Projects/ Power Stations/ Units, Workstations shall be procured only after approval of concerned ED for the specific work to be performed at the location.

4. Technical Specifications of the Workstations shall be finalized by IT&C Division in consultation with the Divisions considering work requirements.","1. Workstation shall be issued to the Divisions/ locations involved in use of technical & scientific applications viz. Design, PID, R&D, O&M, Environment, IT&C, Geology etc. depending upon the type of work and requirement.

2. Workstations being high-end machines these shall be procured only after recommendation of respective HOD and approval of ED-IT&C at CO for the specific work to be performed by the Divisions.

3. For Projects/ Power Stations/ Units, Workstations shall be procured only after approval of concerned ED for the specific work to be performed at the location.

4. Technical Specifications of the Workstations shall be finalized by IT&C Division in consultation with the Divisions considering work requirements."
Give information about issuing printers.,"• CMD/Directors etc. as per requirement.
• All Directorate staff / Secretariat staff as per requirements.
• One no. Colour Multi-functional printer shall be provided to all officers in the rank of E8 and E9.

In following cases, printers are to be provided on need basis with justification and recommendation of concerned HOD and approval of ED-IT&C at Corporate Office. 
a) Printers to individual employees of level E7 & below (as network connected printers/ photocopy machine will be provided in each Division).
b) Printer with any distinct specification for specific work requirement.
In case of Projects/ Power Stations/ Units printers are to be provided on need basis with proper justification, recommendation and approval of HOP.","• CMD/Directors etc. as per requirement.
• All Directorate staff / Secretariat staff as per requirements.
• One no. Colour Multi-functional printer shall be provided to all officers in the rank of E8 and E9.

In following cases, printers are to be provided on need basis with justification and recommendation of concerned HOD and approval of ED-IT&C at Corporate Office. 
a) Printers to individual employees of level E7 & below (as network connected printers/ photocopy machine will be provided in each Division).
b) Printer with any distinct specification for specific work requirement.
In case of Projects/ Power Stations/ Units printers are to be provided on need basis with proper justification, recommendation and approval of HOP."
Give information about issuing computer peripherals.,"• Minimum one no. Network connected Printer/ Photocopier machine may be provided in each Division at CO and RO/ Project/ Power Station/ Units with specific approval of ED-IT&C at CO and concerned ED at RO/ Projects/ Power Stations
• Any other specific, additional requirement of peripherals such as Scanners, Plotters, additional network connected printer/ photocopier etc. shall be provided with justification and approval of ED-IT&C at CO and concerned ED at RO/ Projects/ Power Stations.","• Minimum one no. Network connected Printer/ Photocopier machine may be provided in each Division at CO and RO/ Project/ Power Station/ Units with specific approval of ED-IT&C at CO and concerned ED at RO/ Projects/ Power Stations
• Any other specific, additional requirement of peripherals such as Scanners, Plotters, additional network connected printer/ photocopier etc. shall be provided with justification and approval of ED-IT&C at CO and concerned ED at RO/ Projects/ Power Stations."
Give information about using external storage devices.,"• Usage of external storage devices/memory cards etc shall be governed by the guidelines of NHPC’s Cyber Security Policy.

Relaxation to 5.3.3 above, if required, shall be given in exceptional cases for short duration only with justification, recommendation of Nodal Officer (Cyber Security) CISO of the location, consent of HoP and approval of ED(IT&C) at CO and same shall be reviewed periodically.","• Usage of external storage devices/memory cards etc shall be governed by the guidelines of NHPC’s Cyber Security Policy.

Relaxation to 5.3.3 above, if required, shall be given in exceptional cases for short duration only with justification, recommendation of Nodal Officer (Cyber Security) CISO of the location, consent of HoP and approval of ED(IT&C) at CO and same shall be reviewed periodically."
Give information about entitlement of using laptops.,"1. Senior officers of the level of E8 & E9 shall be entitled to purchase Laptop once in prescribed life span of an amount not exceeding Rs. 80,000/- as per scheme for purchase of Laptop by senior officers of the level of E8 & E9 notified vide IT&C Division order no. NH/IT&C/19/1/2020/165 dated 14.02.2020. The Laptop shall be purchased once in a life span of 3 years as per guidelines at Annexure-I, which is subject to change/notified from time to time by NHPC.

2. On expiry of life span of 3 years, the Laptop shall be compulsorily brought back by the executive. In case of superannuation/ separation compulsory buyback is applicable as per clause 9 of Annexure-I.  

3. “Scheme for Executives for purchase of Laptop” has been introduced by HR Division vide part-I Office Order no 135/2023 dated 27.01.2023. Under this scheme all executives of the level of E1-E7 are entitled to purchase Laptop once in prescribed life span of an amount as notified in the policy from time to time. 

4. Executives of the level E7 who have purchased Laptop/ Tablet/ iPAD in terms of “Scheme for Executives for purchase of Laptop” introduced vide HR Division Part-I Office Order no 135/2023 dated 27.01.2023, on promotion to E8 level shall continue with the same Laptop/ Tablet/ iPAD till completion of its useful life span. After expiry of useful life span of this Laptop/ Tablet/ iPAD, employee at the level of E8 will become eligible for purchase of next Laptop in terms of prevalent IT policy which takes care of Laptop requirements of Senior Executives of the level of E8 & E9. 

5. “Scheme for purchase of Laptop for Non-Executive (Supervisors & Workmen)” has been introduced by HR Division vide part-I Office Order no 58/2023 dated 28.08.2023. Under this scheme all non-executives (Supervisors & Workmen) are entitled to purchase Laptop of an amount as notified in the policy from time to time. 

6. In view of NHPC’s existing schemes for purchase of Laptop/ iPAD/ Tablet by its employees, the provision of providing official Laptops to Divisions of Corporate Office, Liaison Office, Investigation Projects, Regional Office, Project/ Power Stations has been withdrawn.","1. Senior officers of the level of E8 & E9 shall be entitled to purchase Laptop once in prescribed life span of an amount not exceeding Rs. 80,000/- as per scheme for purchase of Laptop by senior officers of the level of E8 & E9 notified vide IT&C Division order no. NH/IT&C/19/1/2020/165 dated 14.02.2020. The Laptop shall be purchased once in a life span of 3 years as per guidelines at Annexure-I, which is subject to change/notified from time to time by NHPC.

2. On expiry of life span of 3 years, the Laptop shall be compulsorily brought back by the executive. In case of superannuation/ separation compulsory buyback is applicable as per clause 9 of Annexure-I.  

3. “Scheme for Executives for purchase of Laptop” has been introduced by HR Division vide part-I Office Order no 135/2023 dated 27.01.2023. Under this scheme all executives of the level of E1-E7 are entitled to purchase Laptop once in prescribed life span of an amount as notified in the policy from time to time. 

4. Executives of the level E7 who have purchased Laptop/ Tablet/ iPAD in terms of “Scheme for Executives for purchase of Laptop” introduced vide HR Division Part-I Office Order no 135/2023 dated 27.01.2023, on promotion to E8 level shall continue with the same Laptop/ Tablet/ iPAD till completion of its useful life span. After expiry of useful life span of this Laptop/ Tablet/ iPAD, employee at the level of E8 will become eligible for purchase of next Laptop in terms of prevalent IT policy which takes care of Laptop requirements of Senior Executives of the level of E8 & E9. 

5. “Scheme for purchase of Laptop for Non-Executive (Supervisors & Workmen)” has been introduced by HR Division vide part-I Office Order no 58/2023 dated 28.08.2023. Under this scheme all non-executives (Supervisors & Workmen) are entitled to purchase Laptop of an amount as notified in the policy from time to time. 

6. In view of NHPC’s existing schemes for purchase of Laptop/ iPAD/ Tablet by its employees, the provision of providing official Laptops to Divisions of Corporate Office, Liaison Office, Investigation Projects, Regional Office, Project/ Power Stations has been withdrawn."
Give information about tablet and ipads for cmd/directors.,"For CMD/Directors.
• CMD/ Directors etc. shall be provided with iPAD/ Tablet along with necessary accessories etc. for Board meetings and routine functional requirements. 
• CMD/Directors are allowed to retain iPADs/ Tablet after completion of their tenure without any charge. The same has been approved by Board during its 425th meeting held on 29.07.2019.  

Budget provision for procurement of iPAD/ Tablet shall be kept by IT&C division of concerned location.","For CMD/Directors.
• CMD/ Directors etc. shall be provided with iPAD/ Tablet along with necessary accessories etc. for Board meetings and routine functional requirements. 
• CMD/Directors are allowed to retain iPADs/ Tablet after completion of their tenure without any charge. The same has been approved by Board during its 425th meeting held on 29.07.2019.  

Budget provision for procurement of iPAD/ Tablet shall be kept by IT&C division of concerned location."
Give information about tablet and ipads for senior officers (Eds/HOPs/HODs),"For Senior Officers- EDs/HOPs/HODs
• Senior officers of the level of E9 (ED) and E8 (GM/GGM designated as HOD/HOP) shall be entitled to purchase one iPAD/ Tablet including necessary accessories once in prescribed life span of an amount not exceeding Rs. 1,00,000/- (during policy formulation) plus applicable taxes as per guidelines at Annexure-I.
• On expiry of life span, the iPAD/ Tablet shall be compulsorily bought back by them. In case of superannuation/ separation from NHPC, the compulsory buy back is applicable as per clause 9 of Annexure-I. 
• Executives who have already been provided with official iPAD/ Tablet are also eligible for reimbursement of new iPAD/ Tablet provided they buyback the official iPAD/ Tablet on expiry of life span by paying the residual value plus other applicable taxes.
• For iPAD/ Tablet SIM shall be procured by individual officer and reimbursement may be obtained within their existing ceiling of official communication expenses.
• In case an officer is holding charge of more than one location/ assignment, shall be provided only one iPAD/ Tablet.

Budget provision for procurement of iPAD/ Tablet shall be kept by IT&C division of concerned location.","For Senior Officers- EDs/HOPs/HODs
• Senior officers of the level of E9 (ED) and E8 (GM/GGM designated as HOD/HOP) shall be entitled to purchase one iPAD/ Tablet including necessary accessories once in prescribed life span of an amount not exceeding Rs. 1,00,000/- (during policy formulation) plus applicable taxes as per guidelines at Annexure-I.
• On expiry of life span, the iPAD/ Tablet shall be compulsorily bought back by them. In case of superannuation/ separation from NHPC, the compulsory buy back is applicable as per clause 9 of Annexure-I. 
• Executives who have already been provided with official iPAD/ Tablet are also eligible for reimbursement of new iPAD/ Tablet provided they buyback the official iPAD/ Tablet on expiry of life span by paying the residual value plus other applicable taxes.
• For iPAD/ Tablet SIM shall be procured by individual officer and reimbursement may be obtained within their existing ceiling of official communication expenses.
• In case an officer is holding charge of more than one location/ assignment, shall be provided only one iPAD/ Tablet.

Budget provision for procurement of iPAD/ Tablet shall be kept by IT&C division of concerned location."
Give information about the it assets for mop and associated bodies.,"1. IT Assets shall be procured and provided to MoP and associated bodies etc. on the basis of requisition received through proper channel with justification and recommendation for issuance of asset. 

2. Administrative approval for procurement of IT assets for outside NHPC requirements shall be obtained as per provision in DoP. 

3. All hardware assets for outside NHPC requirements shall be purchased with minimum 3 to 5 years onsite warranty or till the specified life span of IT equipment, if possible.","1. IT Assets shall be procured and provided to MoP and associated bodies etc. on the basis of requisition received through proper channel with justification and recommendation for issuance of asset. 

2. Administrative approval for procurement of IT assets for outside NHPC requirements shall be obtained as per provision in DoP. 

3. All hardware assets for outside NHPC requirements shall be purchased with minimum 3 to 5 years onsite warranty or till the specified life span of IT equipment, if possible."
Give information about projectors and display units.,"1. All Conference rooms & Meeting Halls etc. which are in use for conducting regular meetings/ delivering presentations etc. shall be provided with ceiling mounted high resolution laser projectors / screen/ LED display/ Video wall etc. (as per requirement) by IT&C Division of concerned location. 

2. Spare/ additional portable Projectors/ Display unit may be kept by IT&C Division of concerned location to meet any contingency requirement.","1. All Conference rooms & Meeting Halls etc. which are in use for conducting regular meetings/ delivering presentations etc. shall be provided with ceiling mounted high resolution laser projectors / screen/ LED display/ Video wall etc. (as per requirement) by IT&C Division of concerned location. 

2. Spare/ additional portable Projectors/ Display unit may be kept by IT&C Division of concerned location to meet any contingency requirement."
Give information about video conferenicng systems.,"1. All Projects, Power Stations, Units and ROs shall have at least one set of Video Conferencing equipment in working condition for facilitating video conferencing at their location.

2. Few selected Conference halls at Corporate Office shall have dedicated VC equipment installed to provide video conferencing facility.

3. Video Conferencing equipment may include PTZ cameras, DSP unit with suitable number of voice inputs (Microphone) & voice output (speakers- ceiling/wall mount), Display unit etc. 

4. Specifications of VC equipment shall be framed & updated by IT&C Division CO for procurement and standardization purpose across NHPC.","1. All Projects, Power Stations, Units and ROs shall have at least one set of Video Conferencing equipment in working condition for facilitating video conferencing at their location.

2. Few selected Conference halls at Corporate Office shall have dedicated VC equipment installed to provide video conferencing facility.

3. Video Conferencing equipment may include PTZ cameras, DSP unit with suitable number of voice inputs (Microphone) & voice output (speakers- ceiling/wall mount), Display unit etc. 

4. Specifications of VC equipment shall be framed & updated by IT&C Division CO for procurement and standardization purpose across NHPC."
Give information about maintenance of it and communication infrastructure.,"1. Maintenance of IT assets shall be the responsibility of IT&C Division of the location either in-house or by hiring an outside agency on contract basis.

2. IT assets of obsolete configuration, if found unserviceable, beyond economic repair or due to technological obsolesce shall be decommissioned as per “Disposal Policy for IT Hardware”.

3. Obsolete or damaged (beyond repair) IT assets, as certified by IT&C Division shall be handed over to concerned Stores for proper storage till these are disposed off as per NHPC’s “Disposal Policy for IT Hardware”.

4. IT&C Infrastructure not under warranty shall be kept under comprehensive annual maintenance contract.

5. Maintenance contract of all IT assets should preferably be taken for minimum period of two/ three years, if possible or as per requirement of respective location. 

6. Maintenance Contract of critical IT assets (Network equipment, Servers, Online UPS, Plotters, Storage solution, IT Security equipment etc.) shall preferably be taken directly from OEM or through authorized service provider.","1. Maintenance of IT assets shall be the responsibility of IT&C Division of the location either in-house or by hiring an outside agency on contract basis.

2. IT assets of obsolete configuration, if found unserviceable, beyond economic repair or due to technological obsolesce shall be decommissioned as per “Disposal Policy for IT Hardware”.

3. Obsolete or damaged (beyond repair) IT assets, as certified by IT&C Division shall be handed over to concerned Stores for proper storage till these are disposed off as per NHPC’s “Disposal Policy for IT Hardware”.

4. IT&C Infrastructure not under warranty shall be kept under comprehensive annual maintenance contract.

5. Maintenance contract of all IT assets should preferably be taken for minimum period of two/ three years, if possible or as per requirement of respective location. 

6. Maintenance Contract of critical IT assets (Network equipment, Servers, Online UPS, Plotters, Storage solution, IT Security equipment etc.) shall preferably be taken directly from OEM or through authorized service provider."
